itemid,quality,class,type,value,canuse,cansee,init_count,autoinc_type,autoinc_time,autoinc_step,autoinc_bound,is_public
1102001,1,7,1,0,0,0,0,none,0,0,0,0
1102002,1,7,2,0,0,0,0,none,0,0,0,0
1102003,1,7,3,0,0,0,0,none,0,0,0,0
1102004,1,7,4,0,0,0,0,none,0,0,0,0
1103001,1,8,1,0,0,0,0,none,0,0,0,0
1103002,1,8,2,0,0,0,0,none,0,0,0,0
1103003,1,8,3,0,0,0,0,none,0,0,0,0
1103004,1,8,4,0,0,0,0,none,0,0,0,0
2100033,1,9,1,0,0,1,0,none,0,0,0,0
1101001,1,10,1101001,100000,0,0,0,none,0,0,0,0
1101002,1,10,1101002,100000,0,0,0,none,0,0,0,0
1101003,1,10,1101003,100000,0,0,0,none,0,0,0,0
2201001,1,10,1101001,10000,0,1,0,none,0,0,0,0
2201002,2,10,1101001,100000,0,1,0,none,0,0,0,0
2201003,3,10,1101001,1000000,0,1,0,none,0,0,0,0
2201004,1,10,1101001,100000,0,1,0,none,0,0,0,0
2202001,1,10,1101002,10000,0,1,0,none,0,0,0,0
2202002,2,10,1101002,100000,0,1,0,none,0,0,0,0
2202003,3,10,1101002,1000000,0,1,0,none,0,0,0,0
2202004,1,10,1101002,100000,0,1,0,none,0,0,0,0
2203001,1,10,1101003,10000,0,1,0,none,0,0,0,0
2203002,2,10,1101003,100000,0,1,0,none,0,0,0,0
2203003,3,10,1101003,1000000,0,1,0,none,0,0,0,0
2203004,1,10,1101003,100000,0,1,0,none,0,0,0,0
2209001,1,10,1101004,100000,0,1,0,none,0,0,0,0
2205001,1,10,1102002,10,0,1,0,none,0,0,0,0
2205002,1,10,1102002,100000,0,1,0,none,0,0,0,0
2206001,1,10,1102001,100,0,1,0,none,0,0,0,0
2206002,1,10,1102001,100000,0,1,0,none,0,0,0,0
2207001,1,10,1102003,100,0,1,0,none,0,0,0,0
2207002,1,10,1102003,100000,0,1,0,none,0,0,0,0
2208001,1,10,1102004,100,0,1,0,none,0,0,0,0
2208002,1,10,1102004,100000,0,1,0,none,0,0,0,0
2210001,1,10,1103002,1000,0,1,0,none,0,0,0,0
1101201,1,10,1101201,1000,0,1,0,none,0,0,0,0
1101202,1,10,1101202,1000,0,1,0,none,0,0,0,0
1101203,1,10,1101203,1000,0,1,0,none,0,0,0,0
2204004,1,10,1103002,1000,0,1,0,none,0,0,0,0
2204001,1,11,0,0,2901001,1,0,none,0,0,0,0
2204002,1,11,0,0,2901002,1,0,none,0,0,0,0
2204003,1,11,0,0,2901003,1,0,none,0,0,0,0
2100034,1,12,1,0,2806017,1,0,none,0,0,0,0
2100035,1,12,2,0,2806018,1,0,none,0,0,0,0
2100036,1,12,3,0,2806019,1,0,none,0,0,0,0
2100037,1,12,4,0,2806020,1,0,none,0,0,0,0
2299999,1,12,999999,0,2899999,1,0,none,0,0,0,0
2400001,1,14,9,0,2810001,1,0,none,0,0,0,0
2400002,1,14,10,0,2810002,1,0,none,0,0,0,0
2400003,1,14,11,0,2810003,1,0,none,0,0,0,0
2400004,1,14,12,0,2810004,1,0,none,0,0,0,0
2400005,1,14,13,0,2810005,1,0,none,0,0,0,0
2400006,1,14,14,0,2810006,1,0,none,0,0,0,0
3301110,1,15,1201110,10000,0,1,0,none,0,0,0,0
3301210,1,15,1201210,10000,0,1,0,none,0,0,0,0
3302110,1,15,1202110,10000,0,1,0,none,0,0,0,0
3302210,1,15,1202210,10000,0,1,0,none,0,0,0,0
3303110,1,15,1203110,10000,0,1,0,none,0,0,0,0
3303210,1,15,1203210,10000,0,1,0,none,0,0,0,0
3304110,1,15,1204110,10000,0,1,0,none,0,0,0,0
2100039,1,16,0,0,0,1,0,none,0,0,0,0
2007001,1,17,2700001,60,0,1,0,none,0,0,0,0
2007002,2,17,2700001,480,0,1,0,none,0,0,0,0
2007003,3,17,2700001,1440,0,1,0,none,0,0,0,0
2006001,1,17,2700002,60,0,1,0,none,0,0,0,0
2006002,2,17,2700002,480,0,1,0,none,0,0,0,0
2006003,3,17,2700002,1440,0,1,0,none,0,0,0,0
2211001,1,18,1103004,10000,0,1,0,none,0,0,0,0
2100041,1,19,1,1440,0,1,0,none,0,0,0,0
2008101,2,12,5,0,2910001,1,0,none,0,0,0,0
2008102,2,12,6,0,2910002,1,0,none,0,0,0,0
2008103,2,12,7,0,2910003,1,0,none,0,0,0,0
2008104,2,12,8,0,2910004,1,0,none,0,0,0,0
2008105,2,12,9,0,2910005,1,0,none,0,0,0,0
2008106,3,12,10,0,2910006,1,0,none,0,0,0,0
2008107,3,12,11,0,2910007,1,0,none,0,0,0,0
2008108,3,12,12,0,2910008,1,0,none,0,0,0,0
2008109,3,12,13,0,2910009,1,0,none,0,0,0,0
2008110,3,12,14,0,2910010,1,0,none,0,0,0,0
2008111,4,12,15,0,2910011,1,0,none,0,0,0,0
2008112,4,12,16,0,2910012,1,0,none,0,0,0,0
2008113,4,12,17,0,2910013,1,0,none,0,0,0,0
2008114,4,12,18,0,2910014,1,0,none,0,0,0,0
2008115,4,12,19,0,2910015,1,0,none,0,0,0,0
2008116,2,12,20,0,2910016,1,0,none,0,0,0,0
2008117,2,12,21,0,2910017,1,0,none,0,0,0,0
2008118,2,12,22,0,2910018,1,0,none,0,0,0,0
2008119,2,12,23,0,2910019,1,0,none,0,0,0,0
2008120,2,12,24,0,2910020,1,0,none,0,0,0,0
2008121,3,12,25,0,2910021,1,0,none,0,0,0,0
2008122,3,12,26,0,2910022,1,0,none,0,0,0,0
2008123,3,12,27,0,2910023,1,0,none,0,0,0,0
2008124,3,12,28,0,2910024,1,0,none,0,0,0,0
2008125,3,12,29,0,2910025,1,0,none,0,0,0,0
2008126,4,12,30,0,2910026,1,0,none,0,0,0,0
2008127,4,12,31,0,2910027,1,0,none,0,0,0,0
2008128,4,12,32,0,2910028,1,0,none,0,0,0,0
2008129,4,12,33,0,2910029,1,0,none,0,0,0,0
2008130,4,12,34,0,2910030,1,0,none,0,0,0,0
2008201,2,12,35,0,2910031,1,0,none,0,0,0,0
2008202,2,12,36,0,2910032,1,0,none,0,0,0,0
2008203,2,12,37,0,2910033,1,0,none,0,0,0,0
2008204,2,12,38,0,2910034,1,0,none,0,0,0,0
2008205,2,12,39,0,2910035,1,0,none,0,0,0,0
2008206,3,12,40,0,2910036,1,0,none,0,0,0,0
2008207,3,12,41,0,2910037,1,0,none,0,0,0,0
2008208,3,12,42,0,2910038,1,0,none,0,0,0,0
2008209,3,12,43,0,2910039,1,0,none,0,0,0,0
2008210,3,12,44,0,2910040,1,0,none,0,0,0,0
2008211,4,12,45,0,2910041,1,0,none,0,0,0,0
2008212,4,12,46,0,2910042,1,0,none,0,0,0,0
2008213,4,12,47,0,2910043,1,0,none,0,0,0,0
2008214,4,12,48,0,2910044,1,0,none,0,0,0,0
2008215,4,12,49,0,2910045,1,0,none,0,0,0,0
2008216,2,12,50,0,2910046,1,0,none,0,0,0,0
2008217,2,12,51,0,2910047,1,0,none,0,0,0,0
2008218,2,12,52,0,2910048,1,0,none,0,0,0,0
2008219,2,12,53,0,2910049,1,0,none,0,0,0,0
2008220,2,12,54,0,2910050,1,0,none,0,0,0,0
2008221,3,12,55,0,2910051,1,0,none,0,0,0,0
2008222,3,12,56,0,2910052,1,0,none,0,0,0,0
2008223,3,12,57,0,2910053,1,0,none,0,0,0,0
2008224,3,12,58,0,2910054,1,0,none,0,0,0,0
2008225,3,12,59,0,2910055,1,0,none,0,0,0,0
2008226,4,12,60,0,2910056,1,0,none,0,0,0,0
2008227,4,12,61,0,2910057,1,0,none,0,0,0,0
2008228,4,12,62,0,2910058,1,0,none,0,0,0,0
2008229,4,12,63,0,2910059,1,0,none,0,0,0,0
2008230,4,12,64,0,2910060,1,0,none,0,0,0,0
