tech_level_id,tech_effect,tech_class,tech_order,tech_type,tech_number,need_resource,levelup_time,level_need,level_open,need
"[1301003,3]","{""2500005"":0.03}",1,1,1,10,"{""1101001"":40000,""1101002"":40000,""1101003"":0}",15,{},{},"{""1903001"":3}"
"[1301003,4]","{""2500005"":0.04}",1,1,1,10,"{""1101001"":80000,""1101002"":80000,""1101003"":0}",20,{},{},"{""1903001"":4}"
"[1301003,5]","{""2500005"":0.05}",1,1,1,10,"{""1101001"":160000,""1101002"":160000,""1101003"":0}",25,{},{},"{""1903001"":5}"
"[1301003,6]","{""2500005"":0.06}",1,1,1,10,"{""1101001"":450000,""1101002"":450000,""1101003"":0}",30,{},{},"{""1903001"":6}"
"[1301003,7]","{""2500005"":0.07}",1,1,1,10,"{""1101001"":900000,""1101002"":900000,""1101003"":0}",35,{},{},"{""1903001"":7}"
"[1301003,8]","{""2500005"":0.08}",2,1,1,10,"{""1101001"":1510000,""1101002"":1510000,""1101003"":0}",40,{},{},"{""1903001"":8}"
"[1301003,9]","{""2500005"":0.09}",2,1,1,10,"{""1101001"":2330000,""1101002"":2330000,""1101003"":0}",45,{},{},"{""1903001"":9}"
"[1301003,10]","{""2500005"":0.10}",2,1,1,10,"{""1101001"":3400000,""1101002"":3400000,""1101003"":0}",50,{},{},"{""1903001"":10}"
"[1301003,11]","{""2500005"":0.11}",2,1,1,10,"{""1101001"":4710000,""1101002"":4710000,""1101003"":0}",55,{},{},"{""1903001"":11}"
"[1301003,12]","{""2500005"":0.12}",2,1,1,10,"{""1101001"":6350000,""1101002"":6350000,""1101003"":0}",60,{},{},"{""1903001"":12}"
"[1301003,13]","{""2500005"":0.13}",2,1,1,10,"{""1101001"":8330000,""1101002"":8330000,""1101003"":0}",65,{},{},"{""1903001"":13}"
"[1301003,14]","{""2500005"":0.14}",2,1,1,10,"{""1101001"":10690000,""1101002"":10690000,""1101003"":0}",70,{},{},"{""1903001"":14}"
"[1301003,15]","{""2500005"":0.15}",3,1,1,10,"{""1101001"":13530000,""1101002"":13530000,""1101003"":0}",75,{},{},"{""1903001"":15}"
"[1301003,16]","{""2500005"":0.16}",3,1,1,10,"{""1101001"":16820000,""1101002"":16820000,""1101003"":0}",80,{},{},"{""1903001"":16}"
"[1301003,17]","{""2500005"":0.17}",3,1,1,10,"{""1101001"":20710000,""1101002"":20710000,""1101003"":0}",85,{},{},"{""1903001"":17}"
"[1301003,18]","{""2500005"":0.18}",3,1,1,10,"{""1101001"":25200000,""1101002"":25200000,""1101003"":0}",90,{},{},"{""1903001"":18}"
"[1301003,19]","{""2500005"":0.19}",3,1,1,10,"{""1101001"":30320000,""1101002"":30320000,""1101003"":0}",95,{},{},"{""1903001"":19}"
"[1301003,20]","{""2500005"":0.20}",3,1,1,10,"{""1101001"":36170000,""1101002"":36170000,""1101003"":0}",100,{},{},"{""1903001"":20}"
"[1301003,21]","{""2500005"":0.21}",3,1,1,10,"{""1101001"":42850000,""1101002"":42850000,""1101003"":0}",105,{},{},"{""1903001"":21}"
"[1301003,22]","{""2500005"":0.22}",4,1,1,10,"{""1101001"":50330000,""1101002"":50330000,""1101003"":0}",110,{},{},"{""1903001"":22}"
"[1301003,23]","{""2500005"":0.23}",4,1,1,10,"{""1101001"":58830000,""1101002"":58830000,""1101003"":0}",115,{},{},"{""1903001"":23}"
"[1301003,24]","{""2500005"":0.24}",4,1,1,10,"{""1101001"":68270000,""1101002"":68270000,""1101003"":0}",120,{},{},"{""1903001"":24}"
"[1301003,25]","{""2500005"":0.25}",4,1,1,10,"{""1101001"":78870000,""1101002"":78870000,""1101003"":0}",125,{},{},"{""1903001"":25}"
"[1301003,26]","{""2500005"":0.26}",4,1,1,10,"{""1101001"":90620000,""1101002"":90620000,""1101003"":0}",130,{},{},"{""1903001"":26}"
"[1301003,27]","{""2500005"":0.27}",4,1,1,10,"{""1101001"":103590000,""1101002"":103590000,""1101003"":0}",135,{},{},"{""1903001"":27}"
"[1301003,28]","{""2500005"":0.28}",4,1,1,10,"{""1101001"":118000000,""1101002"":118000000,""1101003"":0}",140,{},{},"{""1903001"":28}"
"[1301003,29]","{""2500005"":0.29}",4,1,1,10,"{""1101001"":133800000,""1101002"":133800000,""1101003"":0}",145,{},{},"{""1903001"":29}"
"[1301003,30]","{""2500005"":0.30}",4,1,1,10,"{""1101001"":151170000,""1101002"":151170000,""1101003"":0}",150,{},{},"{""1903001"":30}"
"[1301009,0]",{},0,0,1,0,{},0,{},{},{}
"[1301009,1]","{""2500008"":0.07}",1,2,1,10,"{""1101001"":10000,""1101002"":10000,""1101003"":10000}",10,{},{},"{""1903001"":1}"
"[1301009,2]","{""2500008"":0.14}",1,2,1,10,"{""1101001"":20000,""1101002"":20000,""1101003"":20000}",20,{},{},"{""1903001"":2}"
"[1301009,3]","{""2500008"":0.21}",2,2,1,10,"{""1101001"":50000,""1101002"":50000,""1101003"":50000}",30,{},{},"{""1903001"":3}"
"[1301009,4]","{""2500008"":0.28}",2,2,1,10,"{""1101001"":100000,""1101002"":100000,""1101003"":100000}",40,{},{},"{""1903001"":4}"
"[1301009,5]","{""2500008"":0.35}",3,2,1,10,"{""1101001"":270000,""1101002"":270000,""1101003"":270000}",50,{},{},"{""1903001"":5}"
"[1301009,6]","{""2500008"":0.42}",3,2,1,10,"{""1101001"":540000,""1101002"":540000,""1101003"":540000}",60,{},{},"{""1903001"":6}"
"[1301009,7]","{""2500008"":0.49}",3,2,1,10,"{""1101001"":910000,""1101002"":910000,""1101003"":910000}",70,{},{},"{""1903001"":7}"
"[1301009,8]","{""2500008"":0.56}",4,2,1,10,"{""1101001"":1400000,""1101002"":1400000,""1101003"":1400000}",80,{},{},"{""1903001"":8}"
"[1301009,9]","{""2500008"":0.63}",4,2,1,10,"{""1101001"":2040000,""1101002"":2040000,""1101003"":2040000}",90,{},{},"{""1903001"":9}"
"[1301009,10]","{""2500008"":0.70}",4,2,1,10,"{""1101001"":2830000,""1101002"":2830000,""1101003"":2830000}",100,{},{},"{""1903001"":10}"
"[1301010,0]",{},0,0,1,0,{},0,{},{},{}
"[1301010,1]","{""2500009"":0.07}",1,2,1,10,"{""1101001"":2570000,""1101002"":2570000,""1101003"":2570000}",150,{},{},"{""1903001"":1}"
"[1301010,2]","{""2500009"":0.14}",1,2,1,10,"{""1101001"":3390000,""1101002"":3390000,""1101003"":3390000}",165,{},{},"{""1903001"":2}"
"[1301010,3]","{""2500009"":0.21}",2,2,1,10,"{""1101001"":4390000,""1101002"":4390000,""1101003"":4390000}",180,{},{},"{""1903001"":3}"
"[1301010,4]","{""2500009"":0.28}",2,2,1,10,"{""1101001"":5610000,""1101002"":5610000,""1101003"":5610000}",195,{},{},"{""1903001"":4}"
"[1301010,5]","{""2500009"":0.35}",3,2,1,10,"{""1101001"":7020000,""1101002"":7020000,""1101003"":7020000}",210,{},{},"{""1903001"":5}"
"[1301010,6]","{""2500009"":0.42}",3,2,1,10,"{""1101001"":8720000,""1101002"":8720000,""1101003"":8720000}",225,{},{},"{""1903001"":6}"
"[1301010,7]","{""2500009"":0.49}",3,2,1,10,"{""1101001"":10690000,""1101002"":10690000,""1101003"":10690000}",240,{},{},"{""1903001"":7}"
"[1301010,8]","{""2500009"":0.56}",4,2,1,10,"{""1101001"":12960000,""1101002"":12960000,""1101003"":12960000}",255,{},{},"{""1903001"":8}"
"[1301010,9]","{""2500009"":0.63}",4,2,1,10,"{""1101001"":15570000,""1101002"":15570000,""1101003"":15570000}",270,{},{},"{""1903001"":9}"
"[1301010,10]","{""2500009"":0.70}",4,2,1,10,"{""1101001"":18570000,""1101002"":18570000,""1101003"":18570000}",285,{},{},"{""1903001"":10}"
"[1301011,0]",{},0,0,1,0,{},0,{},{},{}
"[1301011,1]","{""2500010"":0.07}",1,2,1,10,"{""1101001"":18570000,""1101002"":18570000,""1101003"":18570000}",300,{},{},"{""1903001"":1}"
"[1301011,2]","{""2500010"":0.14}",1,2,1,10,"{""1101001"":21960000,""1101002"":21960000,""1101003"":21960000}",315,{},{},"{""1903001"":2}"
"[1301011,3]","{""2500010"":0.21}",2,2,1,10,"{""1101001"":25850000,""1101002"":25850000,""1101003"":25850000}",330,{},{},"{""1903001"":3}"
"[1301011,4]","{""2500010"":0.28}",2,2,1,10,"{""1101001"":30200000,""1101002"":30200000,""1101003"":30200000}",345,{},{},"{""1903001"":4}"
"[1301011,5]","{""2500010"":0.35}",3,2,1,10,"{""1101001"":35110000,""1101002"":35110000,""1101003"":35110000}",360,{},{},"{""1903001"":5}"
"[1301011,6]","{""2500010"":0.42}",3,2,1,10,"{""1101001"":40600000,""1101002"":40600000,""1101003"":40600000}",375,{},{},"{""1903001"":6}"
"[1301011,7]","{""2500010"":0.49}",3,2,1,10,"{""1101001"":46700000,""1101002"":46700000,""1101003"":46700000}",390,{},{},"{""1903001"":7}"
"[1301011,8]","{""2500010"":0.56}",4,2,1,10,"{""1101001"":53520000,""1101002"":53520000,""1101003"":53520000}",405,{},{},"{""1903001"":8}"
"[1301011,9]","{""2500010"":0.63}",4,2,1,10,"{""1101001"":61050000,""1101002"":61050000,""1101003"":61050000}",420,{},{},"{""1903001"":9}"
"[1301011,10]","{""2500010"":0.70}",4,2,1,10,"{""1101001"":69380000,""1101002"":69380000,""1101003"":69380000}",435,{},{},"{""1903001"":10}"
"[1301008,0]",{},0,0,1,0,{},0,{},{},{}
"[1301008,1]","{""2500006"":0.01}",1,2,1,10,"{""1101001"":3400000,""1101002"":3400000,""1101003"":3400000}",150,{},{},"{""1903001"":1}"
"[1301008,2]","{""2500006"":0.02}",1,2,1,10,"{""1101001"":4710000,""1101002"":4710000,""1101003"":4710000}",165,{},{},"{""1903001"":2}"
"[1301008,3]","{""2500006"":0.03}",1,2,1,10,"{""1101001"":6350000,""1101002"":6350000,""1101003"":6350000}",180,{},{},"{""1903001"":3}"
"[1301008,4]","{""2500006"":0.04}",1,2,1,10,"{""1101001"":8330000,""1101002"":8330000,""1101003"":8330000}",195,{},{},"{""1903001"":4}"
"[1301008,5]","{""2500006"":0.05}",1,2,1,10,"{""1101001"":10690000,""1101002"":10690000,""1101003"":10690000}",210,{},{},"{""1903001"":5}"
"[1301008,6]","{""2500006"":0.06}",2,2,1,10,"{""1101001"":13530000,""1101002"":13530000,""1101003"":13530000}",225,{},{},"{""1903001"":6}"
"[1301008,7]","{""2500006"":0.07}",2,2,1,10,"{""1101001"":16820000,""1101002"":16820000,""1101003"":16820000}",240,{},{},"{""1903001"":7}"
"[1301008,8]","{""2500006"":0.08}",2,2,1,10,"{""1101001"":20710000,""1101002"":20710000,""1101003"":20710000}",255,{},{},"{""1903001"":8}"
"[1301008,9]","{""2500006"":0.09}",2,2,1,10,"{""1101001"":25200000,""1101002"":25200000,""1101003"":25200000}",270,{},{},"{""1903001"":9}"
"[1301008,10]","{""2500006"":0.10}",2,2,1,10,"{""1101001"":30320000,""1101002"":30320000,""1101003"":30320000}",285,{},{},"{""1903001"":10}"
"[1301008,11]","{""2500006"":0.11}",3,2,1,10,"{""1101001"":36170000,""1101002"":36170000,""1101003"":36170000}",300,{},{},"{""1903001"":11}"
"[1301008,12]","{""2500006"":0.12}",3,2,1,10,"{""1101001"":42850000,""1101002"":42850000,""1101003"":42850000}",315,{},{},"{""1903001"":12}"
"[1301008,13]","{""2500006"":0.13}",3,2,1,10,"{""1101001"":50330000,""1101002"":50330000,""1101003"":50330000}",330,{},{},"{""1903001"":13}"
"[1301008,14]","{""2500006"":0.14}",3,2,1,10,"{""1101001"":58830000,""1101002"":58830000,""1101003"":58830000}",345,{},{},"{""1903001"":14}"
"[1301008,15]","{""2500006"":0.15}",3,2,1,10,"{""1101001"":68270000,""1101002"":68270000,""1101003"":68270000}",360,{},{},"{""1903001"":15}"
"[1301008,16]","{""2500006"":0.16}",4,2,1,10,"{""1101001"":78870000,""1101002"":78870000,""1101003"":78870000}",375,{},{},"{""1903001"":16}"
"[1301008,17]","{""2500006"":0.17}",4,2,1,10,"{""1101001"":90620000,""1101002"":90620000,""1101003"":90620000}",390,{},{},"{""1903001"":17}"
"[1301008,18]","{""2500006"":0.18}",4,2,1,10,"{""1101001"":103590000,""1101002"":103590000,""1101003"":103590000}",405,{},{},"{""1903001"":18}"
"[1301008,19]","{""2500006"":0.19}",4,2,1,10,"{""1101001"":118000000,""1101002"":118000000,""1101003"":118000000}",420,{},{},"{""1903001"":19}"
"[1301008,20]","{""2500006"":0.20}",4,2,1,10,"{""1101001"":133800000,""1101002"":133800000,""1101003"":133800000}",435,{},{},"{""1903001"":20}"
"[1302001,0]",{},0,0,0,0,{},0,{},{},{}
"[1302001,1]","{""2500078"":0.005}",1,1,2,10,"{""1101001"":5000,""1101002"":5000,""1101003"":5000,""1102001"":0}",12,{},{},"{""1903001"":1}"
"[1302001,2]","{""2500078"":0.01}",1,1,2,10,"{""1101001"":10000,""1101002"":10000,""1101003"":10000,""1102001"":0}",24,{},{},"{""1903001"":2}"
"[1302001,3]","{""2500078"":0.015}",1,1,2,10,"{""1101001"":20000,""1101002"":20000,""1101003"":20000,""1102001"":0}",36,{},{},"{""1903001"":3}"
"[1302001,4]","{""2500078"":0.02}",1,1,2,10,"{""1101001"":40000,""1101002"":40000,""1101003"":40000,""1102001"":11111}",48,{},{},"{""1903001"":4}"
"[1302001,5]","{""2500078"":0.025}",1,1,2,10,"{""1101001"":80000,""1101002"":80000,""1101003"":80000,""1102001"":16667}",60,{},{},"{""1903001"":5}"
"[1302001,6]","{""2500078"":0.03}",1,1,2,10,"{""1101001"":225000,""1101002"":225000,""1101003"":225000,""1102001"":22222}",72,{},{},"{""1903001"":6}"
"[1302001,7]","{""2500078"":0.035}",1,1,2,10,"{""1101001"":450000,""1101002"":450000,""1101003"":450000,""1102001"":25000}",84,{},{},"{""1903001"":7}"
"[1302001,8]","{""2500078"":0.04}",2,1,2,10,"{""1101001"":755000,""1101002"":755000,""1101003"":755000,""1102001"":33334}",96,{},{},"{""1903001"":8}"
"[1302001,9]","{""2500078"":0.045}",2,1,2,10,"{""1101001"":1165000,""1101002"":1165000,""1101003"":1165000,""1102001"":44445}",108,{},{},"{""1903001"":9}"
"[1302001,10]","{""2500078"":0.05}",2,1,2,10,"{""1101001"":1700000,""1101002"":1700000,""1101003"":1700000,""1102001"":66667}",120,{},{},"{""1903001"":10}"
"[1302001,11]","{""2500078"":0.055}",2,1,2,10,"{""1101001"":2350000,""1101002"":2350000,""1101003"":2350000,""1102001"":100000}",132,{},{},"{""1903001"":11}"
"[1302001,12]","{""2500078"":0.06}",2,1,2,10,"{""1101001"":3175000,""1101002"":3175000,""1101003"":3175000,""1102001"":133334}",144,{},{},"{""1903001"":12}"
"[1302001,13]","{""2500078"":0.065}",2,1,2,10,"{""1101001"":4165000,""1101002"":4165000,""1101003"":4165000,""1102001"":200000}",156,{},{},"{""1903001"":13}"
"[1302001,14]","{""2500078"":0.07}",2,1,2,10,"{""1101001"":5345000,""1101002"":5345000,""1101003"":5345000,""1102001"":300000}",168,{},{},"{""1903001"":14}"
"[1302001,15]","{""2500078"":0.075}",3,1,2,10,"{""1101001"":6775000,""1101002"":6775000,""1101003"":6775000,""1102001"":400000}",180,{},{},"{""1903001"":15}"
"[1302001,16]","{""2500078"":0.08}",3,1,2,10,"{""1101001"":8410000,""1101002"":8410000,""1101003"":8410000,""1102001"":600000}",192,{},{},"{""1903001"":16}"
"[1302001,17]","{""2500078"":0.085}",3,1,2,10,"{""1101001"":10350000,""1101002"":10350000,""1101003"":10350000,""1102001"":900000}",204,{},{},"{""1903001"":17}"
"[1302001,18]","{""2500078"":0.09}",3,1,2,10,"{""1101001"":12600000,""1101002"":12600000,""1101003"":12600000,""1102001"":1200000}",216,{},{},"{""1903001"":18}"
"[1302001,19]","{""2500078"":0.095}",3,1,2,10,"{""1101001"":15160000,""1101002"":15160000,""1101003"":15160000,""1102001"":1800000}",228,{},{},"{""1903001"":19}"
"[1302001,20]","{""2500078"":0.1}",3,1,2,10,"{""1101001"":18080000,""1101002"":18080000,""1101003"":18080000,""1102001"":2700000}",240,{},{},"{""1903001"":20}"
"[1302001,21]","{""2500078"":0.105}",3,1,2,10,"{""1101001"":21430000,""1101002"":21430000,""1101003"":21430000,""1102001"":3600000}",252,{},{},"{""1903001"":21}"
"[1302001,22]","{""2500078"":0.11}",4,1,2,10,"{""1101001"":25170000,""1101002"":25170000,""1101003"":25170000,""1102001"":5400000}",264,{},{},"{""1903001"":22}"
"[1302001,23]","{""2500078"":0.115}",4,1,2,10,"{""1101001"":29440000,""1101002"":29440000,""1101003"":29440000,""1102001"":8100000}",276,{},{},"{""1903001"":23}"
"[1302001,24]","{""2500078"":0.12}",4,1,2,10,"{""1101001"":34140000,""1101002"":34140000,""1101003"":34140000,""1102001"":10800000}",288,{},{},"{""1903001"":24}"
"[1302001,25]","{""2500078"":0.125}",4,1,2,10,"{""1101001"":39450000,""1101002"":39450000,""1101003"":39450000,""1102001"":16200000}",300,{},{},"{""1903001"":25}"
"[1302001,26]","{""2500078"":0.13}",4,1,2,10,"{""1101001"":45310000,""1101002"":45310000,""1101003"":45310000,""1102001"":24300000}",312,{},{},"{""1903001"":26}"
"[1302001,27]","{""2500078"":0.135}",4,1,2,10,"{""1101001"":51800000,""1101002"":51800000,""1101003"":51800000,""1102001"":32400000}",324,{},{},"{""1903001"":27}"
"[1302001,28]","{""2500078"":0.14}",4,1,2,10,"{""1101001"":59000000,""1101002"":59000000,""1101003"":59000000,""1102001"":48600000}",336,{},{},"{""1903001"":28}"
"[1302001,29]","{""2500078"":0.145}",4,1,2,10,"{""1101001"":66900000,""1101002"":66900000,""1101003"":66900000,""1102001"":72900000}",348,{},{},"{""1903001"":29}"
"[1302001,30]","{""2500078"":0.15}",4,1,2,10,"{""1101001"":75800000,""1101002"":75800000,""1101003"":75800000,""1102001"":97200000}",360,{},{},"{""1903001"":30}"
"[1302002,0]",{},0,0,0,0,{},0,{},{},{}
