birth_point_id,x,y
294,84,378
295,76,326
296,85,326
297,68,336
298,78,335
299,66,346
300,80,346
301,72,296
302,63,304
303,82,304
304,69,314
305,77,314
306,84,314
307,76,262
308,85,262
309,68,272
310,78,271
311,66,282
312,80,282
313,72,232
314,63,240
315,82,240
316,69,250
317,77,250
318,84,250
319,76,198
320,85,198
321,68,208
322,78,207
323,66,218
324,80,218
325,72,168
326,63,176
327,82,176
328,69,186
329,77,186
330,84,186
331,76,134
332,85,134
333,68,144
334,78,143
335,66,154
336,80,154
337,72,104
338,63,112
339,82,112
340,69,122
341,77,122
342,84,122
343,76,70
344,85,70
345,68,80
346,78,79
347,66,90
348,80,90
349,72,40
350,63,48
351,82,48
352,69,58
353,77,58
354,84,58
355,76,6
356,85,6
357,68,16
358,78,15
359,66,26
360,80,26
361,106,614
362,115,614
363,98,624
364,108,623
365,96,634
366,110,634
367,102,584
368,93,592
369,112,592
370,99,602
371,107,602
372,114,602
373,106,550
374,115,550
375,98,560
376,108,559
377,96,570
378,110,570
379,102,520
380,93,528
381,112,528
382,99,538
383,107,538
384,114,538
385,106,486
386,115,486
387,98,496
388,108,495
389,96,506
390,110,506
391,102,456
392,93,464
393,112,464
394,99,474
395,107,474
396,114,474
397,106,422
398,115,422
399,98,432
400,108,431
401,96,442
402,110,442
403,102,392
404,93,400
405,112,400
406,99,410
407,107,410
408,114,410
409,106,358
410,115,358
411,98,368
412,108,367
413,96,378
414,110,378
415,102,328
416,93,336
417,112,336
418,99,346
419,107,346
420,114,346
421,106,294
422,115,294
423,98,304
424,108,303
425,96,314
426,110,314
427,102,264
428,93,272
429,112,272
430,99,282
431,107,282
432,114,282
433,106,230
434,115,230
435,98,240
436,108,239
437,96,250
438,110,250
439,102,200
440,93,208
441,112,208
442,99,218
443,107,218
444,114,218
445,106,166
446,115,166
447,98,176
448,108,175
449,96,186
450,110,186
451,102,136
452,93,144
453,112,144
454,99,154
455,107,154
456,114,154
457,106,102
458,115,102
459,98,112
460,108,111
461,96,122
462,110,122
463,102,72
464,93,80
465,112,80
466,99,90
467,107,90
468,114,90
469,106,38
470,115,38
471,98,48
472,108,47
473,96,58
474,110,58
475,102,8
476,93,16
477,112,16
478,99,26
479,107,26
480,114,26
481,132,616
482,123,624
483,142,624
484,129,634
485,137,634
486,144,634
487,136,582
488,145,582
489,128,592
490,138,591
491,126,602
492,140,602
493,132,552
494,123,560
495,142,560
496,129,570
497,137,570
498,144,570
499,136,518
500,145,518
501,128,528
502,138,527
503,126,538
504,140,538
505,132,104
506,123,112
507,142,112
508,129,122
509,137,122
510,144,122
511,136,70
512,145,70
513,128,80
514,138,79
515,126,90
516,140,90
517,132,40
518,123,48
519,142,48
520,129,58
521,137,58
522,144,58
523,136,6
524,145,6
525,128,16
526,138,15
527,126,26
528,140,26
529,166,614
530,175,614
531,158,624
532,168,623
533,156,634
534,170,634
535,162,584
536,153,592
537,172,592
538,159,602
539,167,602
540,174,602
541,166,550
542,175,550
543,158,560
544,168,559
545,156,570
546,170,570
547,162,520
548,153,528
549,172,528
550,159,538
551,167,538
552,174,538
553,166,102
554,175,102
555,158,112
556,168,111
557,156,122
558,170,122
559,162,72
560,153,80
561,172,80
562,159,90
563,167,90
564,174,90
565,166,38
566,175,38
567,158,48
568,168,47
569,156,58
570,170,58
571,162,8
572,153,16
573,172,16
574,159,26
575,167,26
576,174,26
577,192,616
578,183,624
579,202,624
580,189,634
581,197,634
582,204,634
583,196,582
584,205,582
585,188,592
586,198,591
587,186,602
588,200,602
589,192,552
590,183,560
591,202,560
592,189,570
593,197,570
594,204,570
595,196,518
596,205,518
597,188,528
598,198,527
599,186,538
600,200,538
601,192,104
602,183,112
603,202,112
604,189,122
605,197,122
606,204,122
607,196,70
608,205,70
609,188,80
610,198,79
611,186,90
612,200,90
613,192,40
614,183,48
615,202,48
616,189,58
617,197,58
618,204,58
619,196,6
620,205,6
621,188,16
622,198,15
623,186,26
624,200,26
625,226,614
626,235,614
627,218,624
628,228,623
629,216,634
630,230,634
631,222,584
632,213,592
633,232,592
634,219,602
635,227,602
636,234,602
637,226,550
638,235,550
639,218,560
640,228,559
641,216,570
642,230,570
643,222,520
644,213,528
645,232,528
646,219,538
647,227,538
648,234,538
649,226,102
650,235,102
651,218,112
652,228,111
653,216,122
654,230,122
655,222,72
656,213,80
657,232,80
658,219,90
659,227,90
660,234,90
661,226,38
662,235,38
663,218,48
664,228,47
665,216,58
666,230,58
667,222,8
668,213,16
669,232,16
670,219,26
671,227,26
672,234,26
673,252,616
674,243,624
675,262,624
676,249,634
677,257,634
678,264,634
679,256,582
680,265,582
681,248,592
682,258,591
683,246,602
684,260,602
685,252,552
686,243,560
687,262,560
688,249,570
689,257,570
690,264,570
691,256,518
692,265,518
693,248,528
694,258,527
695,246,538
696,260,538
697,252,104
698,243,112
699,262,112
700,249,122
701,257,122
702,264,122
703,256,70
704,265,70
705,248,80
706,258,79
707,246,90
708,260,90
709,252,40
710,243,48
711,262,48
712,249,58
713,257,58
714,264,58
715,256,6
716,265,6
717,248,16
718,258,15
719,246,26
720,260,26
721,286,614
722,295,614
723,278,624
724,288,623
725,276,634
726,290,634
727,282,584
728,273,592
729,292,592
730,279,602
731,287,602
732,294,602
733,286,550
734,295,550
735,278,560
736,288,559
737,276,570
738,290,570
739,282,520
740,273,528
741,292,528
742,279,538
743,287,538
744,294,538
745,286,102
746,295,102
747,278,112
748,288,111
749,276,122
750,290,122
751,282,72
752,273,80
753,292,80
754,279,90
755,287,90
756,294,90
757,286,38
758,295,38
759,278,48
760,288,47
761,276,58
762,290,58
763,282,8
764,273,16
765,292,16
766,279,26
767,287,26
768,294,26
769,312,616
770,303,624
771,322,624
772,309,634
773,317,634
774,324,634
775,316,582
776,325,582
777,308,592
778,318,591
779,306,602
780,320,602
781,312,552
782,303,560
783,322,560
784,309,570
785,317,570
786,324,570
787,316,518
788,325,518
789,308,528
790,318,527
791,306,538
792,320,538
793,312,104
794,303,112
795,322,112
796,309,122
797,317,122
798,324,122
799,316,70
800,325,70
801,308,80
802,318,79
803,306,90
804,320,90
805,312,40
806,303,48
807,322,48
808,309,58
809,317,58
810,324,58
811,316,6
812,325,6
813,308,16
814,318,15
815,306,26
816,320,26
817,346,614
818,355,614
819,338,624
820,348,623
821,336,634
822,350,634
823,342,584
824,333,592
825,352,592
826,339,602
827,347,602
828,354,602
829,346,550
830,355,550
831,338,560
832,348,559
833,336,570
834,350,570
835,342,520
836,333,528
837,352,528
838,339,538
839,347,538
840,354,538
841,346,102
842,355,102
843,338,112
844,348,111
845,336,122
846,350,122
847,342,72
848,333,80
849,352,80
850,339,90
851,347,90
852,354,90
853,346,38
854,355,38
855,338,48
856,348,47
857,336,58
858,350,58
859,342,8
860,333,16
861,352,16
862,339,26
863,347,26
864,354,26
865,372,616
866,363,624
867,382,624
868,369,634
869,377,634
870,384,634
871,376,582
872,385,582
873,368,592
874,378,591
875,366,602
876,380,602
877,372,552
878,363,560
879,382,560
880,369,570
881,377,570
882,384,570
883,376,518
884,385,518
885,368,528
886,378,527
887,366,538
888,380,538
889,372,104
890,363,112
891,382,112
892,369,122
893,377,122
894,384,122
895,376,70
896,385,70
897,368,80
898,378,79
899,366,90
900,380,90
901,372,40
902,363,48
903,382,48
904,369,58
905,377,58
906,384,58
907,376,6
908,385,6
909,368,16
910,378,15
911,366,26
912,380,26
913,406,614
914,415,614
915,398,624
916,408,623
917,396,634
918,410,634
919,402,584
920,393,592
921,412,592
922,399,602
923,407,602
924,414,602
925,406,550
926,415,550
927,398,560
928,408,559
929,396,570
930,410,570
931,402,520
932,393,528
933,412,528
934,399,538
935,407,538
936,414,538
937,406,102
938,415,102
939,398,112
940,408,111
941,396,122
942,410,122
943,402,72
944,393,80
945,412,80
946,399,90
947,407,90
948,414,90
949,406,38
950,415,38
951,398,48
952,408,47
953,396,58
954,410,58
955,402,8
956,393,16
957,412,16
958,399,26
959,407,26
960,414,26
961,432,616
962,423,624
963,442,624
964,429,634
965,437,634
966,444,634
967,436,582
968,445,582
969,428,592
970,438,591
971,426,602
972,440,602
973,432,552
974,423,560
975,442,560
976,429,570
977,437,570
978,444,570
979,436,518
980,445,518
981,428,528
982,438,527
983,426,538
984,440,538
985,432,104
986,423,112
987,442,112
988,429,122
989,437,122
990,444,122
991,436,70
992,445,70
993,428,80
994,438,79
995,426,90
996,440,90
997,432,40
998,423,48
999,442,48
1000,429,58
1001,437,58
1002,444,58
1003,436,6
1004,445,6
1005,428,16
1006,438,15
1007,426,26
1008,440,26
1009,466,614
1010,475,614
1011,458,624
1012,468,623
1013,456,634
1014,470,634
1015,462,584
1016,453,592
1017,472,592
1018,459,602
1019,467,602
1020,474,602
1021,466,550
1022,475,550
1023,458,560
1024,468,559
1025,456,570
1026,470,570
1027,462,520
1028,453,528
1029,472,528
1030,459,538
1031,467,538
1032,474,538
1033,466,102
1034,475,102
1035,458,112
1036,468,111
1037,456,122
1038,470,122
1039,462,72
1040,453,80
1041,472,80
1042,459,90
1043,467,90
1044,474,90
1045,466,38
1046,475,38
1047,458,48
1048,468,47
1049,456,58
1050,470,58
1051,462,8
1052,453,16
1053,472,16
1054,459,26
1055,467,26
1056,474,26
1057,492,616
1058,483,624
1059,502,624
1060,489,634
1061,497,634
1062,504,634
1063,496,582
1064,505,582
1065,488,592
1066,498,591
1067,486,602
1068,500,602
1069,492,552
1070,483,560
1071,502,560
1072,489,570
1073,497,570
1074,504,570
1075,496,518
1076,505,518
1077,488,528
1078,498,527
1079,486,538
1080,500,538
1081,492,488
1082,483,496
1083,502,496
1084,489,506
1085,497,506
1086,504,506
1087,496,454
1088,505,454
1089,488,464
1090,498,463
1091,486,474
1092,500,474
1093,492,424
1094,483,432
1095,502,432
1096,489,442
1097,497,442
1098,504,442
1099,496,390
1100,505,390
1101,488,400
1102,498,399
1103,486,410
1104,500,410
1105,492,360
1106,483,368
1107,502,368
1108,489,378
1109,497,378
1110,504,378
1111,496,326
1112,505,326
1113,488,336
1114,498,335
1115,486,346
1116,500,346
1117,492,296
1118,483,304
1119,502,304
1120,489,314
1121,497,314
1122,504,314
1123,496,262
1124,505,262
1125,488,272
1126,498,271
1127,486,282
1128,500,282
1129,492,232
1130,483,240
1131,502,240
1132,489,250
1133,497,250
1134,504,250
1135,496,198
1136,505,198
1137,488,208
1138,498,207
1139,486,218
1140,500,218
1141,492,168
1142,483,176
1143,502,176
1144,489,186
1145,497,186
1146,504,186
1147,496,134
1148,505,134
1149,488,144
1150,498,143
1151,486,154
1152,500,154
1153,492,104
1154,483,112
1155,502,112
1156,489,122
1157,497,122
1158,504,122
1159,496,70
1160,505,70
1161,488,80
1162,498,79
1163,486,90
1164,500,90
1165,492,40
1166,483,48
1167,502,48
1168,489,58
1169,497,58
1170,504,58
1171,496,6
1172,505,6
1173,488,16
1174,498,15
1175,486,26
1176,500,26
1177,526,614
1178,535,614
1179,518,624
1180,528,623
1181,516,634
1182,530,634
1183,522,584
1184,513,592
1185,532,592
1186,519,602
1187,527,602
1188,534,602
1189,526,550
1190,535,550
1191,518,560
1192,528,559
1193,516,570
1194,530,570
1195,522,520
1196,513,528
1197,532,528
1198,519,538
1199,527,538
1200,534,538
1201,526,486
1202,535,486
1203,518,496
1204,528,495
1205,516,506
1206,530,506
1207,522,456
1208,513,464
1209,532,464
1210,519,474
1211,527,474
1212,534,474
1213,526,422
1214,535,422
1215,518,432
1216,528,431
1217,516,442
1218,530,442
1219,522,392
1220,513,400
1221,532,400
1222,519,410
1223,527,410
1224,534,410
1225,526,358
1226,535,358
1227,518,368
1228,528,367
1229,516,378
1230,530,378
1231,522,328
1232,513,336
1233,532,336
1234,519,346
1235,527,346
1236,534,346
1237,526,294
1238,535,294
1239,518,304
1240,528,303
1241,516,314
1242,530,314
1243,522,264
1244,513,272
1245,532,272
1246,519,282
1247,527,282
1248,534,282
1249,526,230
1250,535,230
1251,518,240
1252,528,239
1253,516,250
1254,530,250
1255,522,200
1256,513,208
1257,532,208
1258,519,218
1259,527,218
1260,534,218
1261,526,166
1262,535,166
1263,518,176
1264,528,175
1265,516,186
1266,530,186
1267,522,136
1268,513,144
1269,532,144
1270,519,154
1271,527,154
1272,534,154
1273,526,102
1274,535,102
1275,518,112
1276,528,111
1277,516,122
1278,530,122
1279,522,72
1280,513,80
1281,532,80
1282,519,90
1283,527,90
1284,534,90
1285,526,38
1286,535,38
1287,518,48
1288,528,47
1289,516,58
1290,530,58
1291,522,8
1292,513,16
1293,532,16
1294,519,26
1295,527,26
1296,534,26
1297,552,616
1298,543,624
1299,562,624
1300,549,634
1301,557,634
1302,564,634
1303,556,582
1304,565,582
1305,548,592
1306,558,591
1307,546,602
1308,560,602
1309,552,552
1310,543,560
1311,562,560
1312,549,570
1313,557,570
1314,564,570
1315,556,518
1316,565,518
1317,548,528
1318,558,527
1319,546,538
1320,560,538
1321,552,488
1322,543,496
1323,562,496
1324,549,506
1325,557,506
1326,564,506
1327,556,454
1328,565,454
1329,548,464
1330,558,463
1331,546,474
1332,560,474
1333,552,424
1334,543,432
1335,562,432
1336,549,442
1337,557,442
1338,564,442
1339,556,390
1340,565,390
1341,548,400
1342,558,399
1343,546,410
1344,560,410
1345,552,360
1346,543,368
1347,562,368
1348,549,378
1349,557,378
1350,564,378
1351,556,326
1352,565,326
1353,548,336
1354,558,335
1355,546,346
1356,560,346
1357,552,296
1358,543,304
1359,562,304
1360,549,314
1361,557,314
1362,564,314
1363,556,262
1364,565,262
1365,548,272
1366,558,271
1367,546,282
1368,560,282
1369,552,232
1370,543,240
1371,562,240
1372,549,250
1373,557,250
1374,564,250
1375,556,198
1376,565,198
1377,548,208
1378,558,207
1379,546,218
1380,560,218
1381,552,168
1382,543,176
1383,562,176
1384,549,186
1385,557,186
1386,564,186
1387,556,134
1388,565,134
1389,548,144
1390,558,143
1391,546,154
1392,560,154
1393,552,104
1394,543,112
1395,562,112
1396,549,122
1397,557,122
1398,564,122
1399,556,70
1400,565,70
1401,548,80
1402,558,79
1403,546,90
1404,560,90
1405,552,40
1406,543,48
1407,562,48
1408,549,58
1409,557,58
1410,564,58
1411,556,6
1412,565,6
1413,548,16
1414,558,15
1415,546,26
1416,560,26
1417,586,614
1418,595,614
1419,578,624
1420,588,623
1421,576,634
1422,590,634
1423,582,584
1424,573,592
1425,592,592
1426,579,602
1427,587,602
1428,594,602
1429,586,550
1430,595,550
1431,578,560
1432,588,559
1433,576,570
1434,590,570
1435,582,520
1436,573,528
1437,592,528
1438,579,538
1439,587,538
1440,594,538
1441,586,486
1442,595,486
1443,578,496
1444,588,495
1445,576,506
1446,590,506
1447,582,456
1448,573,464
1449,592,464
1450,579,474
1451,587,474
1452,594,474
1453,586,422
1454,595,422
1455,578,432
1456,588,431
1457,576,442
1458,590,442
1459,582,392
1460,573,400
1461,592,400
1462,579,410
1463,587,410
1464,594,410
1465,586,358
1466,595,358
1467,578,368
1468,588,367
1469,576,378
1470,590,378
1471,582,328
1472,573,336
1473,592,336
1474,579,346
1475,587,346
1476,594,346
1477,586,294
1478,595,294
1479,578,304
1480,588,303
1481,576,314
1482,590,314
1483,582,264
1484,573,272
1485,592,272
1486,579,282
1487,587,282
1488,594,282
1489,586,230
1490,595,230
1491,578,240
1492,588,239
1493,576,250
1494,590,250
1495,582,200
1496,573,208
1497,592,208
1498,579,218
1499,587,218
1500,594,218
1501,586,166
1502,595,166
1503,578,176
1504,588,175
1505,576,186
1506,590,186
1507,582,136
1508,573,144
1509,592,144
1510,579,154
1511,587,154
1512,594,154
1513,586,102
1514,595,102
1515,578,112
1516,588,111
1517,576,122
1518,590,122
1519,582,72
1520,573,80
1521,592,80
1522,579,90
1523,587,90
1524,594,90
1525,586,38
1526,595,38
1527,578,48
1528,588,47
1529,576,58
1530,590,58
1531,582,8
1532,573,16
1533,592,16
1534,579,26
1535,587,26
1536,594,26
